员工ID,姓名,事业部,城市,站点,岗位,员工状态,申购情况,申购订单状态
400,员工396,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
401,员工397,事业部5,城市2,站点33,岗位2,正式,未申购,
402,员工398,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
403,员工399,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
404,员工400,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
405,员工401,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
406,员工402,事业部6,城市9,站点14,岗位5,正式,已申购,已支付
407,员工403,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
408,员工404,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
409,员工255,事业部4,城市3,站点5,岗位3,正式,已申购,已支付
410,员工405,事业部4,城市3,站点5,岗位1,正式,已申购,已支付
411,员工406,事业部9,城市11,站点51,岗位2,正式,未申购,
412,员工72,事业部4,城市3,站点31,岗位7,正式,已申购,已支付
413,员工407,事业部5,城市2,站点33,岗位2,正式,未申购,
414,员工408,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
415,员工409,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
416,员工410,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
417,员工411,事业部6,城市9,站点14,岗位1,正式,已申购,已支付
418,员工412,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
419,员工413,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
420,员工414,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
421,员工415,事业部4,城市6,站点54,岗位4,正式,已申购,已支付
422,员工416,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
423,员工417,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
424,员工418,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
425,员工419,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
426,员工420,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
427,员工421,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
428,员工422,事业部10,城市17,站点43,岗位1,正式,已申购,已支付
429,员工423,事业部7,城市5,站点9,岗位2,正式,未申购,
430,员工424,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
431,员工425,事业部11,城市16,站点36,岗位2,正式,未申购,
432,员工426,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
433,员工427,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
434,员工428,事业部4,城市3,站点5,岗位2,正式,未申购,
435,员工429,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
436,员工430,事业部8,城市18,站点45,岗位2,正式,未申购,
437,员工431,事业部8,城市18,站点45,岗位2,正式,未申购,
438,员工432,事业部11,城市16,站点36,岗位2,正式,未申购,
439,员工433,事业部11,城市16,站点36,岗位2,正式,未申购,
440,员工434,事业部4,城市6,站点11,岗位2,正式,未申购,
441,员工435,事业部11,城市16,站点36,岗位1,正式,已申购,已支付
442,员工436,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
443,员工437,事业部11,城市16,站点36,岗位2,正式,未申购,
444,员工438,事业部8,城市10,站点55,岗位2,正式,未申购,
445,员工439,事业部8,城市18,站点45,岗位2,正式,未申购,
446,员工440,事业部11,城市16,站点36,岗位2,正式,未申购,
447,员工441,事业部11,城市16,站点36,岗位2,正式,未申购,
448,员工442,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
449,员工443,事业部4,城市3,站点5,岗位2,正式,未申购,
450,员工444,事业部8,城市18,站点45,岗位2,正式,未申购,
451,员工445,事业部12,城市13,站点56,岗位2,正式,已申购,已支付
452,员工446,事业部11,城市16,站点36,岗位2,正式,未申购,
453,员工447,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
454,员工448,事业部4,城市6,站点11,岗位2,正式,未申购,
455,员工449,事业部3,城市2,站点4,岗位2,正式,未申购,
456,员工450,事业部9,城市11,站点17,岗位2,正式,未申购,
457,员工451,事业部3,城市2,站点4,岗位2,正式,未申购,
458,员工452,事业部5,城市2,站点6,岗位2,正式,未申购,
459,员工453,事业部11,城市16,站点36,岗位2,正式,未申购,
460,员工454,事业部8,城市10,站点55,岗位2,正式,未申购,
461,员工455,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
462,员工456,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
463,员工457,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
464,员工458,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
465,员工459,事业部9,城市11,站点17,岗位2,正式,未申购,
466,员工460,事业部6,城市9,站点14,岗位2,正式,未申购,
467,员工461,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
468,员工462,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
469,员工463,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
470,员工464,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
471,员工465,事业部11,城市16,站点36,岗位2,正式,未申购,
472,员工466,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
473,员工467,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
474,员工468,事业部6,城市4,站点7,岗位2,正式,已申购,已支付
475,员工469,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
476,员工470,事业部8,城市18,站点45,岗位2,正式,未申购,
477,员工471,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
478,员工472,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
479,员工473,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
480,员工474,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
481,员工475,事业部4,城市3,站点31,岗位4,正式,已申购,已支付
482,员工476,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
483,员工477,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
484,员工478,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
485,员工479,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
486,员工480,事业部5,城市2,站点33,岗位2,正式,未申购,
487,员工481,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
488,员工482,事业部11,城市16,站点36,岗位2,正式,未申购,
489,员工483,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
490,员工484,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
491,员工485,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
492,员工486,事业部14,城市2,站点50,岗位2,正式,已申购,已支付
493,员工487,事业部3,城市2,站点4,岗位2,正式,未申购,
494,员工488,事业部8,城市10,站点55,岗位2,正式,未申购,
495,员工489,事业部10,城市8,站点42,岗位1,正式,已申购,已支付
496,员工490,事业部10,城市17,站点43,岗位2,正式,已申购,已支付
497,员工491,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
498,员工492,事业部11,城市16,站点36,岗位2,正式,未申购,
499,员工493,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
500,员工494,事业部4,城市3,站点31,岗位1,正式,已申购,已支付
501,员工495,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
502,员工496,事业部12,城市13,站点21,岗位2,正式,未申购,
503,员工497,事业部11,城市16,站点36,岗位2,正式,未申购,
504,员工498,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
505,员工499,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
506,员工500,事业部6,城市9,站点38,岗位4,正式,已申购,已支付
507,员工501,事业部4,城市3,站点30,岗位4,正式,已申购,已支付
508,员工502,事业部11,城市16,站点36,岗位2,正式,未申购,
509,员工503,事业部11,城市12,站点20,岗位2,正式,未申购,
510,员工504,事业部6,城市9,站点14,岗位2,正式,未申购,
511,员工505,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
512,员工506,事业部12,城市13,站点56,岗位2,正式,已申购,已支付
513,员工507,事业部3,城市2,站点4,岗位2,正式,未申购,
514,员工508,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
515,员工509,事业部1,城市1,站点24,岗位2,正式,未申购,
516,员工510,事业部9,城市7,站点37,岗位2,正式,未申购,
517,员工511,事业部8,城市10,站点55,岗位2,正式,未申购,
518,员工512,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
519,员工513,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
520,员工514,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
521,员工515,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
522,员工516,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
523,员工517,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
524,员工518,事业部8,城市10,站点55,岗位2,正式,未申购,
525,员工519,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
526,员工520,事业部8,城市10,站点55,岗位2,正式,未申购,
527,员工521,事业部7,城市5,站点9,岗位2,正式,未申购,
528,员工291,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
529,员工522,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
530,员工523,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
531,员工524,事业部6,城市4,站点7,岗位2,正式,未申购,
532,员工525,事业部6,城市4,站点7,岗位2,正式,已申购,已支付
533,员工526,事业部8,城市18,站点45,岗位2,正式,未申购,
534,员工446,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
535,员工527,事业部14,城市2,站点46,岗位6,正式,已申购,已支付
536,员工528,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
537,员工529,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
538,员工530,事业部10,城市17,站点43,岗位2,正式,未申购,
539,员工531,事业部8,城市10,站点16,岗位2,正式,未申购,
540,员工532,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
541,员工533,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
542,员工534,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
543,员工535,事业部9,城市7,站点44,岗位4,正式,已申购,已支付
544,员工536,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
545,员工537,事业部7,城市5,站点57,岗位1,正式,已申购,已支付
546,员工538,事业部6,城市9,站点14,岗位2,正式,未申购,
547,员工539,事业部8,城市10,站点55,岗位2,正式,未申购,
548,员工540,事业部5,城市2,站点6,岗位2,正式,未申购,待支付
549,员工541,事业部13,城市15,站点49,岗位2,正式,已申购,已支付
550,员工542,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
551,员工543,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
552,员工544,事业部8,城市10,站点55,岗位2,正式,未申购,
553,员工545,事业部9,城市7,站点37,岗位2,正式,未申购,
554,员工546,事业部6,城市4,站点7,岗位2,正式,未申购,
555,员工547,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
556,员工548,事业部8,城市10,站点55,岗位2,正式,已申购,已支付
557,员工549,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
558,员工550,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
559,员工551,事业部6,城市9,站点14,岗位2,正式,未申购,
560,员工552,事业部3,城市2,站点4,岗位2,正式,未申购,
561,员工553,事业部14,城市2,站点34,岗位2,正式,未申购,
562,员工554,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
563,员工555,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
564,员工556,事业部3,城市2,站点4,岗位2,正式,未申购,
565,员工557,事业部8,城市14,站点32,岗位2,正式,已申购,已支付
566,员工558,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
567,员工559,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
568,员工560,事业部6,城市9,站点14,岗位2,正式,未申购,
569,员工561,事业部11,城市16,站点36,岗位2,正式,未申购,
570,员工562,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
571,员工563,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
572,员工564,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
573,员工565,事业部10,城市8,站点18,岗位2,正式,已申购,已支付
574,员工566,事业部10,城市8,站点42,岗位3,正式,未申购,
575,员工567,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
576,员工568,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
577,员工569,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
578,员工570,事业部13,城市20,站点58,岗位2,正式,未申购,
579,员工571,事业部2,城市3,站点8,岗位2,正式,已申购,已支付
580,员工572,事业部4,城市6,站点54,岗位4,正式,已申购,已支付
581,员工573,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
582,员工574,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
583,员工575,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
584,员工576,事业部11,城市16,站点36,岗位2,正式,未申购,
585,员工577,事业部5,城市2,站点33,岗位2,正式,未申购,
586,员工578,事业部13,城市15,站点23,岗位6,正式,已申购,已支付
587,员工579,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
588,员工580,事业部8,城市14,站点22,岗位3,正式,未申购,
589,员工581,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
590,员工582,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
591,员工583,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
592,员工584,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
593,员工585,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
594,员工586,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
595,员工587,事业部6,城市9,站点14,岗位2,正式,未申购,
596,员工588,事业部13,城市15,站点49,岗位2,正式,未申购,
597,员工589,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
598,员工590,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
599,员工591,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
600,员工592,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
601,员工593,事业部5,城市2,站点59,岗位2,正式,未申购,
602,员工594,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
603,员工595,事业部8,城市14,站点22,岗位2,正式,未申购,
604,员工596,事业部8,城市14,站点22,岗位2,正式,未申购,
605,员工597,事业部8,城市14,站点22,岗位2,正式,未申购,
606,员工598,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
607,员工599,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
608,员工600,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
609,员工601,事业部8,城市10,站点55,岗位2,正式,已申购,已支付
610,员工602,事业部8,城市18,站点45,岗位2,正式,未申购,
611,员工603,事业部3,城市2,站点4,岗位2,正式,未申购,
612,员工604,事业部11,城市16,站点36,岗位2,正式,未申购,
613,员工605,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
614,员工606,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
615,员工607,事业部13,城市20,站点58,岗位2,正式,未申购,
616,员工608,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
617,员工609,事业部13,城市20,站点58,岗位2,正式,未申购,
618,员工610,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
619,员工611,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
620,员工612,事业部3,城市2,站点4,岗位2,正式,未申购,
621,员工613,事业部8,城市10,站点55,岗位2,正式,未申购,
622,员工614,事业部9,城市7,站点37,岗位3,正式,已申购,已支付
623,员工615,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
624,员工616,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
625,员工617,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
626,员工618,事业部8,城市10,站点55,岗位2,正式,未申购,
627,员工619,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
628,员工620,事业部9,城市7,站点37,岗位2,正式,未申购,
629,员工621,事业部11,城市16,站点36,岗位2,正式,未申购,
630,员工622,事业部10,城市17,站点43,岗位2,正式,未申购,
631,员工623,事业部9,城市11,站点17,岗位2,正式,未申购,
632,员工624,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
633,员工625,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
634,员工626,事业部13,城市20,站点58,岗位2,正式,未申购,
635,员工627,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
636,员工628,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
637,员工629,事业部11,城市16,站点36,岗位2,正式,未申购,
638,员工630,事业部6,城市9,站点14,岗位2,正式,未申购,
639,员工631,事业部10,城市17,站点43,岗位2,正式,未申购,
640,员工632,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
641,员工633,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
642,员工634,事业部9,城市11,站点17,岗位2,正式,未申购,
643,员工19,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
644,员工635,事业部4,城市6,站点11,岗位2,正式,未申购,
645,员工636,事业部11,城市16,站点36,岗位2,正式,未申购,
646,员工637,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
647,员工638,事业部4,城市3,站点5,岗位2,正式,未申购,
648,员工639,事业部4,城市3,站点5,岗位1,正式,已申购,已支付
649,员工640,事业部13,城市20,站点58,岗位2,正式,未申购,
650,员工641,事业部13,城市20,站点58,岗位2,正式,未申购,
651,员工642,事业部11,城市16,站点36,岗位2,正式,未申购,
652,员工643,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
653,员工644,事业部11,城市16,站点60,岗位4,正式,已申购,已支付
654,员工645,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
655,员工646,事业部3,城市2,站点4,岗位2,正式,未申购,
656,员工647,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
657,员工648,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
658,员工649,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
659,员工650,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
660,员工651,事业部11,城市16,站点36,岗位2,正式,未申购,
661,员工652,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
662,员工653,事业部4,城市6,站点54,岗位2,正式,已申购,已支付
663,员工654,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
664,员工655,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
665,员工656,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
666,员工657,事业部10,城市17,站点43,岗位2,正式,未申购,
667,员工658,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
668,员工659,事业部6,城市9,站点14,岗位2,正式,未申购,
669,员工660,事业部1,城市1,站点27,岗位1,正式,已申购,已支付
670,员工661,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
671,员工662,事业部11,城市16,站点36,岗位2,正式,未申购,
672,员工663,事业部6,城市9,站点14,岗位2,正式,未申购,
673,员工664,事业部11,城市12,站点20,岗位2,正式,未申购,
674,员工665,事业部11,城市12,站点20,岗位2,正式,未申购,
675,员工666,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
676,员工667,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
677,员工668,事业部13,城市20,站点58,岗位2,正式,已申购,已支付
678,员工669,事业部6,城市4,站点61,岗位5,正式,已申购,已支付
679,员工670,事业部6,城市4,站点7,岗位2,正式,已申购,已支付
680,员工671,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
681,员工672,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
682,员工673,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
683,员工674,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
684,员工675,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
685,员工676,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
686,员工677,事业部10,城市17,站点43,岗位2,正式,未申购,
687,员工678,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
688,员工679,事业部7,城市5,站点9,岗位2,正式,未申购,
689,员工680,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
690,员工681,事业部6,城市9,站点14,岗位2,正式,未申购,
691,员工682,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
692,员工683,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
693,员工684,事业部8,城市10,站点55,岗位2,正式,已申购,已支付
694,员工685,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
695,员工686,事业部12,城市13,站点56,岗位2,正式,已申购,已支付
696,员工687,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
697,员工688,事业部6,城市9,站点14,岗位2,正式,未申购,
698,员工689,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
699,员工690,事业部11,城市16,站点36,岗位5,正式,已申购,已支付
700,员工691,事业部8,城市18,站点45,岗位2,正式,未申购,
701,员工692,事业部10,城市8,站点26,岗位2,正式,未申购,
702,员工693,事业部8,城市10,站点55,岗位2,正式,已申购,已支付
703,员工694,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
704,员工695,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
705,员工696,事业部4,城市3,站点30,岗位4,正式,已申购,已支付
706,员工697,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
707,员工698,事业部8,城市10,站点55,岗位2,正式,未申购,
708,员工699,事业部6,城市4,站点7,岗位2,正式,未申购,
709,员工700,事业部6,城市9,站点14,岗位2,正式,未申购,
710,员工701,事业部11,城市12,站点20,岗位2,正式,未申购,
711,员工702,事业部11,城市12,站点20,岗位2,正式,未申购,
712,员工703,事业部8,城市10,站点55,岗位2,正式,未申购,
713,员工704,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
714,员工705,事业部10,城市8,站点42,岗位2,正式,未申购,
715,员工706,事业部1,城市1,站点27,岗位4,正式,已申购,已支付
716,员工54,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
717,员工707,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
718,员工708,事业部3,城市2,站点4,岗位2,正式,未申购,
719,员工709,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
720,员工710,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
721,员工711,事业部3,城市2,站点4,岗位2,正式,未申购,
722,员工712,事业部8,城市18,站点45,岗位2,正式,未申购,
723,员工713,事业部8,城市10,站点16,岗位2,正式,未申购,
724,员工714,事业部11,城市12,站点20,岗位2,正式,未申购,
725,员工715,事业部12,城市13,站点56,岗位2,正式,已申购,已支付
726,员工716,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
727,员工717,事业部6,城市4,站点7,岗位2,正式,已申购,已支付
728,员工718,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
729,员工719,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
730,员工720,事业部11,城市16,站点36,岗位2,正式,未申购,
731,员工721,事业部6,城市9,站点14,岗位2,正式,未申购,
732,员工722,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
733,员工723,事业部8,城市10,站点16,岗位2,正式,未申购,
734,员工724,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
735,员工725,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
736,员工726,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
737,员工727,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
738,员工728,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
739,员工729,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
740,员工730,事业部4,城市3,站点30,岗位4,正式,已申购,已支付
741,员工731,事业部11,城市16,站点60,岗位3,正式,已申购,已支付
742,员工732,事业部6,城市9,站点14,岗位2,正式,未申购,
743,员工733,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
744,员工734,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
745,员工735,事业部9,城市7,站点44,岗位4,正式,已申购,已支付
746,员工736,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
747,员工737,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
748,员工738,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
749,员工739,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
750,员工740,事业部7,城市5,站点9,岗位2,正式,未申购,
751,员工741,事业部14,城市2,站点50,岗位2,正式,已申购,已支付
752,员工742,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
753,员工743,事业部14,城市2,站点50,岗位2,正式,已申购,已支付
754,员工744,事业部11,城市16,站点36,岗位2,正式,未申购,
755,员工745,事业部13,城市20,站点58,岗位2,正式,未申购,
756,员工746,事业部4,城市3,站点30,岗位6,正式,已申购,已支付
757,员工747,事业部9,城市7,站点37,岗位2,正式,未申购,
758,员工748,事业部6,城市4,站点7,岗位2,正式,未申购,
759,员工749,事业部6,城市4,站点61,岗位2,正式,已申购,已支付
760,员工750,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
761,员工751,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
762,员工752,事业部11,城市12,站点20,岗位2,正式,未申购,
763,员工753,事业部1,城市1,站点40,岗位2,正式,已申购,已支付
764,员工754,事业部9,城市7,站点37,岗位2,正式,未申购,
765,员工755,事业部9,城市7,站点37,岗位2,正式,未申购,
766,员工756,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
767,员工757,事业部4,城市3,站点31,岗位2,正式,未申购,
768,员工758,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
769,员工759,事业部2,城市15,站点25,岗位2,正式,已申购,已支付
770,员工760,事业部14,城市2,站点50,岗位2,正式,已申购,已支付
771,员工761,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
772,员工762,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
773,员工763,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
774,员工764,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
775,员工765,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
776,员工766,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
777,员工767,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
778,员工768,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
779,员工769,事业部9,城市11,站点17,岗位2,正式,未申购,
780,员工770,事业部2,城市3,站点39,岗位2,正式,未申购,
781,员工771,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
782,员工772,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
783,员工773,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
784,员工653,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
785,员工774,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
786,员工775,事业部6,城市9,站点38,岗位5,正式,已申购,已支付
787,员工776,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
788,员工777,事业部4,城市6,站点11,岗位2,正式,未申购,
789,员工778,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
790,员工779,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
791,员工780,事业部6,城市9,站点14,岗位2,正式,未申购,
792,员工781,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
793,员工782,事业部13,城市15,站点23,岗位2,正式,已申购,已支付
794,员工783,事业部13,城市15,站点23,岗位2,正式,已申购,已支付
795,员工784,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
796,员工785,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
797,员工786,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
798,员工787,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
799,员工788,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
800,员工789,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
801,员工790,事业部1,城市1,站点27,岗位4,正式,已申购,已支付
802,员工791,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
803,员工792,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
804,员工793,事业部11,城市16,站点60,岗位2,正式,已申购,已支付
805,员工794,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
806,员工795,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
807,员工796,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
808,员工797,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
809,员工798,事业部1,城市1,站点27,岗位2,正式,已申购,已支付
