订单年月日,订单年月,is_ot,ot_official,科目,线索量,约课量,试听完课量,新签订单量
2025-03-14,2025-03,0,0,Music,0,0,0,0
2025-03-14,2025-03,1,0,Music,0,0,0,0
2025-03-13,2025-03,0,0,Chinese,532,317,238,32
2025-03-13,2025-03,1,0,Chinese,330,208,173,0
2025-03-13,2025-03,0,0,English,87,58,49,42
2025-03-13,2025-03,1,0,English,9,8,8,18
2025-03-13,2025-03,1,1,Chinese,14,5,0,2
2025-03-13,2025-03,1,0,Math,0,0,0,2
2025-03-13,2025-03,0,0,Music,0,0,0,0
2025-03-13,2025-03,0,0,Math,0,0,0,4
2025-03-13,2025-03,1,1,Math,0,0,0,0
2025-03-12,2025-03,0,0,Chinese,515,267,209,29
2025-03-12,2025-03,1,0,Chinese,346,223,189,4
2025-03-12,2025-03,0,0,English,91,55,51,35
2025-03-12,2025-03,1,0,English,11,8,7,16
2025-03-12,2025-03,1,1,Chinese,17,6,4,1
2025-03-12,2025-03,0,0,Math,0,0,0,2
2025-03-12,2025-03,0,0,Music,0,0,0,2
2025-03-12,2025-03,1,0,Music,0,0,0,0
2025-03-11,2025-03,0,0,Chinese,633,282,213,43
2025-03-11,2025-03,1,0,Chinese,361,254,215,1
2025-03-11,2025-03,0,0,English,74,44,35,42
2025-03-11,2025-03,1,1,Chinese,13,7,7,2
2025-03-11,2025-03,1,0,English,8,4,4,14
2025-03-11,2025-03,1,1,Math,0,0,0,1
2025-03-11,2025-03,0,0,Math,0,0,0,6
2025-03-11,2025-03,0,0,Music,0,0,0,1
2025-03-10,2025-03,0,0,Chinese,646,335,259,62
2025-03-10,2025-03,1,0,Chinese,391,252,203,3
2025-03-10,2025-03,0,0,English,115,72,56,36
2025-03-10,2025-03,1,1,Chinese,18,7,5,2
2025-03-10,2025-03,1,0,English,6,4,4,9
2025-03-10,2025-03,0,0,Math,0,0,0,7
2025-03-10,2025-03,0,0,Music,0,0,0,0
2025-03-09,2025-03,0,0,Chinese,656,358,247,51
2025-03-09,2025-03,1,0,Chinese,357,265,226,2
2025-03-09,2025-03,0,0,English,118,68,56,47
2025-03-09,2025-03,1,0,English,11,9,8,40
2025-03-09,2025-03,1,1,Chinese,12,8,7,3
2025-03-09,2025-03,1,0,Math,0,0,0,1
2025-03-09,2025-03,0,0,Music,0,0,0,0
2025-03-09,2025-03,1,0,Music,0,0,0,0
2025-03-09,2025-03,0,0,Math,0,0,0,3
2025-03-08,2025-03,0,0,Chinese,489,285,230,26
2025-03-08,2025-03,1,0,Chinese,405,279,237,0
2025-03-08,2025-03,0,0,English,70,44,41,39
2025-03-08,2025-03,1,0,English,13,9,8,16
2025-03-08,2025-03,1,1,Chinese,12,6,5,1
2025-03-08,2025-03,0,0,Music,0,0,0,1
2025-03-08,2025-03,0,0,Math,0,0,0,6
2025-03-08,2025-03,1,1,Math,0,0,0,0
2025-03-07,2025-03,0,0,Chinese,560,254,189,35
2025-03-07,2025-03,1,0,Chinese,398,245,209,2
2025-03-07,2025-03,0,0,English,163,82,64,31
2025-03-07,2025-03,1,0,English,6,5,4,14
2025-03-07,2025-03,1,1,Chinese,8,2,2,3
2025-03-07,2025-03,0,0,Math,0,0,0,5
2025-03-07,2025-03,1,0,Math,0,0,0,3
2025-03-06,2025-03,0,0,Chinese,646,363,288,36
2025-03-06,2025-03,1,0,Chinese,415,268,217,3
2025-03-06,2025-03,0,0,English,74,48,38,45
2025-03-06,2025-03,1,0,English,15,9,8,22
2025-03-06,2025-03,1,1,Chinese,14,4,4,0
2025-03-06,2025-03,0,0,Math,0,0,0,4
2025-03-05,2025-03,0,0,Chinese,552,292,221,32
2025-03-05,2025-03,1,0,Chinese,354,244,210,2
2025-03-05,2025-03,0,0,English,87,53,48,36
2025-03-05,2025-03,1,0,English,12,10,9,13
2025-03-05,2025-03,1,1,Chinese,8,4,3,1
2025-03-05,2025-03,0,0,Math,0,0,0,4
2025-03-05,2025-03,0,0,Music,0,0,0,0
2025-03-05,2025-03,1,0,Math,0,0,0,1
2025-03-04,2025-03,0,0,Chinese,647,346,279,42
2025-03-04,2025-03,1,0,Chinese,410,275,228,0
2025-03-04,2025-03,0,0,English,106,65,53,43
2025-03-04,2025-03,1,1,Chinese,16,8,6,2
2025-03-04,2025-03,1,0,English,10,7,5,16
2025-03-04,2025-03,0,0,Math,0,0,0,9
2025-03-04,2025-03,0,0,Music,0,0,0,0
2025-03-03,2025-03,0,0,Chinese,720,360,252,59
2025-03-03,2025-03,1,0,Chinese,339,234,204,0
2025-03-03,2025-03,0,0,English,93,51,42,42
2025-03-03,2025-03,1,0,English,17,14,13,25
2025-03-03,2025-03,1,1,Chinese,8,4,4,1
2025-03-03,2025-03,1,0,Music,0,0,0,0
2025-03-03,2025-03,0,0,Music,0,0,0,5
2025-03-03,2025-03,0,0,Math,0,0,0,5
2025-03-02,2025-03,0,0,Chinese,667,300,214,39
2025-03-02,2025-03,1,0,Chinese,423,270,235,2
2025-03-02,2025-03,0,0,English,107,65,57,55
2025-03-02,2025-03,1,0,English,18,13,10,25
2025-03-02,2025-03,1,1,Chinese,15,4,3,2
2025-03-02,2025-03,1,0,Math,0,0,0,1
2025-03-02,2025-03,1,0,Music,0,0,0,0
2025-03-02,2025-03,0,0,Music,0,0,0,1
2025-03-02,2025-03,0,0,Math,0,0,0,4
2025-03-01,2025-03,0,0,Chinese,1062,331,270,42
2025-03-01,2025-03,1,0,Chinese,299,227,197,1
2025-03-01,2025-03,0,0,English,85,42,36,132
2025-03-01,2025-03,1,0,English,18,11,11,43
2025-03-01,2025-03,1,1,Chinese,10,3,3,1
2025-03-01,2025-03,1,1,English,0,0,0,1
2025-03-01,2025-03,0,0,Music,0,0,0,0
2025-03-01,2025-03,1,0,Math,0,0,0,0
2025-03-01,2025-03,1,1,Math,0,0,0,1
2025-03-01,2025-03,0,0,Math,0,0,0,2
2025-02-28,2025-02,0,0,Chinese,663,448,394,82
2025-02-28,2025-02,1,0,Chinese,318,208,173,3
2025-02-28,2025-02,0,0,English,112,64,56,221
2025-02-28,2025-02,1,0,English,6,5,4,22
2025-02-28,2025-02,1,1,Chinese,10,4,4,3
2025-02-28,2025-02,0,0,Math,0,0,0,10
2025-02-28,2025-02,0,0,Music,0,0,0,0
2025-02-27,2025-02,1,0,Chinese,396,286,238,2
2025-02-27,2025-02,0,0,Chinese,531,266,197,44
2025-02-27,2025-02,0,0,English,187,93,81,48
2025-02-27,2025-02,1,1,Chinese,12,4,2,5
2025-02-27,2025-02,1,0,English,7,4,4,13
2025-02-27,2025-02,0,0,Math,0,0,0,8
2025-02-27,2025-02,0,0,Music,0,0,0,1
2025-02-27,2025-02,1,0,Math,0,0,0,1
2025-02-26,2025-02,0,0,Chinese,572,235,169,40
2025-02-26,2025-02,1,0,Chinese,368,231,185,4
2025-02-26,2025-02,0,0,English,78,40,35,35
2025-02-26,2025-02,1,0,English,14,11,10,19
2025-02-26,2025-02,1,1,Chinese,13,5,5,2
2025-02-26,2025-02,0,0,Math,0,0,0,2
2025-02-26,2025-02,0,0,Music,0,0,0,1
2025-02-25,2025-02,0,0,Chinese,723,330,242,35
2025-02-25,2025-02,1,0,Chinese,373,248,216,3
2025-02-25,2025-02,0,0,English,142,89,83,39
2025-02-25,2025-02,1,0,English,16,10,10,12
2025-02-25,2025-02,1,1,Chinese,5,2,2,0
2025-02-25,2025-02,0,0,Math,0,0,0,5
2025-02-25,2025-02,1,0,Music,0,0,0,0
2025-02-25,2025-02,0,0,Music,0,0,0,2
2025-02-25,2025-02,1,0,Math,0,0,0,0
2025-02-24,2025-02,0,0,Chinese,674,323,252,36
2025-02-24,2025-02,1,0,Chinese,402,287,237,1
2025-02-24,2025-02,0,0,English,258,162,134,36
2025-02-24,2025-02,1,0,English,24,22,17,21
2025-02-24,2025-02,1,1,Chinese,6,2,2,3
2025-02-24,2025-02,0,0,Math,0,0,0,3
2025-02-24,2025-02,1,1,English,0,0,0,1
2025-02-23,2025-02,1,0,Chinese,444,310,273,1
2025-02-23,2025-02,0,0,Chinese,537,303,213,55
2025-02-23,2025-02,1,0,English,23,18,16,40
2025-02-23,2025-02,0,0,English,14,4,3,59
2025-02-23,2025-02,1,1,Chinese,11,4,4,0
2025-02-23,2025-02,1,1,Music,0,0,0,1
2025-02-23,2025-02,1,0,Math,0,0,0,1
2025-02-23,2025-02,0,0,Math,0,0,0,7
2025-02-23,2025-02,1,0,Music,0,0,0,1
2025-02-23,2025-02,0,0,Music,0,0,0,2
2025-02-22,2025-02,1,0,Chinese,474,339,279,2
2025-02-22,2025-02,0,0,Chinese,452,252,200,62
2025-02-22,2025-02,0,0,English,123,78,69,47
2025-02-22,2025-02,1,0,English,21,17,16,29
2025-02-22,2025-02,1,1,Chinese,11,5,4,5
2025-02-22,2025-02,0,0,Music,0,0,0,0
2025-02-22,2025-02,0,0,Math,0,0,0,6
2025-02-21,2025-02,1,0,Chinese,411,292,245,2
2025-02-21,2025-02,0,0,Chinese,474,271,224,42
2025-02-21,2025-02,0,0,English,126,70,62,40
2025-02-21,2025-02,1,0,English,16,8,8,16
2025-02-21,2025-02,1,1,Chinese,10,5,4,3
2025-02-21,2025-02,0,0,Music,0,0,0,1
2025-02-21,2025-02,0,0,Math,0,0,0,4
2025-02-20,2025-02,0,0,Chinese,644,304,237,42
2025-02-20,2025-02,1,0,Chinese,427,299,249,3
2025-02-20,2025-02,0,0,English,142,74,62,37
2025-02-20,2025-02,1,0,English,23,19,17,21
2025-02-20,2025-02,1,1,Chinese,15,8,8,1
2025-02-20,2025-02,1,0,Math,0,0,0,2
2025-02-20,2025-02,0,0,Music,0,0,0,1
2025-02-20,2025-02,0,0,Math,0,0,0,5
2025-02-19,2025-02,0,0,Chinese,787,326,260,35
2025-02-19,2025-02,1,0,Chinese,425,296,262,3
2025-02-19,2025-02,0,0,English,126,81,73,34
2025-02-19,2025-02,1,0,English,21,15,12,14
2025-02-19,2025-02,1,1,Chinese,11,4,4,2
2025-02-19,2025-02,0,0,Math,0,0,0,2
2025-02-19,2025-02,0,0,Music,0,0,0,1
2025-02-18,2025-02,1,0,Chinese,447,308,266,2
2025-02-18,2025-02,0,0,Chinese,587,296,241,66
2025-02-18,2025-02,0,0,English,125,85,70,35
2025-02-18,2025-02,1,0,English,20,12,10,10
2025-02-18,2025-02,1,1,Chinese,10,3,3,1
2025-02-18,2025-02,1,0,Math,0,0,0,0
2025-02-18,2025-02,0,0,Math,0,0,0,4
2025-02-17,2025-02,0,0,Chinese,729,384,308,66
2025-02-17,2025-02,1,0,Chinese,446,296,260,1
2025-02-17,2025-02,0,0,English,111,68,64,22
2025-02-17,2025-02,1,0,English,16,12,10,24
2025-02-17,2025-02,1,1,Chinese,8,2,2,4
2025-02-17,2025-02,0,0,Math,0,0,0,10
2025-02-17,2025-02,1,0,Math,0,0,0,0
2025-02-16,2025-02,0,0,Chinese,657,345,275,84
2025-02-16,2025-02,1,0,Chinese,438,305,257,6
2025-02-16,2025-02,0,0,English,153,93,83,57
2025-02-16,2025-02,1,0,English,15,10,9,22
2025-02-16,2025-02,1,1,Chinese,8,5,4,4
2025-02-16,2025-02,0,0,Math,0,0,0,4
2025-02-16,2025-02,0,0,Music,0,0,0,0
2025-02-16,2025-02,1,0,Math,0,0,0,1
2025-02-15,2025-02,1,0,Chinese,390,291,256,0
2025-02-15,2025-02,0,0,Chinese,552,275,228,75
2025-02-15,2025-02,0,0,English,159,100,88,40
2025-02-15,2025-02,1,0,English,20,15,15,26
2025-02-15,2025-02,1,1,Chinese,18,7,7,3
2025-02-15,2025-02,0,0,Math,0,0,0,11
2025-02-14,2025-02,0,0,Chinese,631,347,267,50
2025-02-14,2025-02,1,0,Chinese,382,271,233,3
2025-02-14,2025-02,0,0,English,117,69,56,37
2025-02-14,2025-02,1,0,English,18,10,10,18
2025-02-14,2025-02,1,1,Chinese,16,4,4,3
2025-02-14,2025-02,1,1,Math,0,0,0,1
2025-02-14,2025-02,0,0,Math,0,0,0,7
2025-02-14,2025-02,1,0,Math,0,0,0,1
2025-02-13,2025-02,0,0,Chinese,774,381,277,39
2025-02-13,2025-02,1,0,Chinese,378,255,223,3
2025-02-13,2025-02,0,0,English,127,77,71,38
2025-02-13,2025-02,1,0,English,15,11,11,19
2025-02-13,2025-02,1,1,Chinese,12,4,3,1
2025-02-13,2025-02,0,0,Music,0,0,0,0
2025-02-13,2025-02,0,0,Math,0,0,0,3
2025-02-12,2025-02,0,0,Chinese,485,258,201,35
2025-02-12,2025-02,1,0,Chinese,261,163,133,2
2025-02-12,2025-02,0,0,English,78,50,44,40
2025-02-12,2025-02,1,0,English,20,15,14,20
2025-02-12,2025-02,1,1,Chinese,16,5,3,0
2025-02-11,2025-02,0,0,Chinese,553,255,201,69
2025-02-11,2025-02,1,0,Chinese,333,196,172,2
2025-02-11,2025-02,0,0,English,94,55,51,23
2025-02-11,2025-02,1,0,English,15,11,10,12
2025-02-11,2025-02,1,1,Chinese,14,3,3,0
2025-02-11,2025-02,1,0,Math,0,0,0,4
2025-02-11,2025-02,1,1,English,0,0,0,0
2025-02-11,2025-02,0,0,Math,0,0,0,6
2025-02-10,2025-02,0,0,Chinese,624,319,244,59
2025-02-10,2025-02,1,0,Chinese,298,182,159,2
2025-02-10,2025-02,0,0,English,79,43,35,35
2025-02-10,2025-02,1,0,English,20,11,10,15
2025-02-10,2025-02,1,1,Chinese,12,6,5,1
2025-02-10,2025-02,0,0,Music,0,0,0,0
2025-02-10,2025-02,0,0,Math,0,0,0,6
2025-02-09,2025-02,0,0,Chinese,649,297,229,72
2025-02-09,2025-02,1,0,Chinese,236,180,160,3
2025-02-09,2025-02,0,0,English,78,41,35,24
2025-02-09,2025-02,1,0,English,12,10,10,14
2025-02-09,2025-02,1,1,Chinese,10,6,4,1
2025-02-09,2025-02,0,0,Music,0,0,0,0
2025-02-09,2025-02,1,1,English,0,0,0,1
2025-02-09,2025-02,1,0,Music,0,0,0,1
2025-02-09,2025-02,0,0,Math,0,0,0,6
2025-02-08,2025-02,0,0,Chinese,652,273,194,58
2025-02-08,2025-02,1,0,Chinese,199,149,132,1
2025-02-08,2025-02,0,0,English,98,66,59,22
2025-02-08,2025-02,1,0,English,18,16,15,9
2025-02-08,2025-02,1,1,Chinese,9,4,3,3
2025-02-08,2025-02,0,0,Music,0,0,0,1
2025-02-08,2025-02,0,0,Math,0,0,0,9
2025-02-07,2025-02,0,0,Chinese,500,253,206,29
2025-02-07,2025-02,1,0,Chinese,221,131,117,1
2025-02-07,2025-02,0,0,English,79,58,51,18
2025-02-07,2025-02,1,0,English,13,10,9,14
2025-02-07,2025-02,1,1,Chinese,8,3,2,1
2025-02-07,2025-02,0,0,Math,0,0,0,3
2025-02-07,2025-02,1,1,Music,0,0,0,0
2025-02-07,2025-02,1,0,Math,0,0,0,1
2025-02-06,2025-02,0,0,Chinese,440,227,184,48
2025-02-06,2025-02,1,0,Chinese,176,113,97,4
2025-02-06,2025-02,0,0,English,68,35,31,25
2025-02-06,2025-02,1,0,English,9,7,6,8
2025-02-06,2025-02,1,1,Chinese,8,4,3,0
2025-02-06,2025-02,0,0,Math,0,0,0,4
2025-02-06,2025-02,0,0,Music,0,0,0,1
2025-02-06,2025-02,1,1,Music,0,0,0,0
2025-02-05,2025-02,0,0,Chinese,412,194,159,41
2025-02-05,2025-02,1,0,Chinese,128,100,96,1
2025-02-05,2025-02,0,0,English,82,50,45,20
2025-02-05,2025-02,1,0,English,12,12,11,5
2025-02-05,2025-02,1,1,Chinese,10,3,3,2
2025-02-05,2025-02,0,0,Math,0,0,0,1
2025-02-04,2025-02,0,0,Chinese,236,130,90,11
2025-02-04,2025-02,1,0,Chinese,79,61,50,1
2025-02-04,2025-02,0,0,English,53,31,27,7
2025-02-04,2025-02,1,0,English,7,5,5,4
2025-02-04,2025-02,1,1,Chinese,13,4,1,1
2025-02-04,2025-02,0,0,Math,0,0,0,2
2025-02-03,2025-02,0,0,Chinese,344,160,109,16
2025-02-03,2025-02,1,0,Chinese,61,49,43,1
2025-02-03,2025-02,0,0,English,40,30,29,3
2025-02-03,2025-02,1,1,Chinese,7,2,2,0
2025-02-03,2025-02,1,0,English,3,1,1,1
2025-02-03,2025-02,0,0,Math,0,0,0,1
2025-02-02,2025-02,0,0,Chinese,331,134,98,17
2025-02-02,2025-02,1,0,Chinese,96,62,51,0
2025-02-02,2025-02,0,0,English,40,28,24,1
2025-02-02,2025-02,1,0,English,4,2,2,2
2025-02-02,2025-02,0,0,Music,0,0,0,0
2025-02-02,2025-02,0,0,Math,0,0,0,1
2025-02-01,2025-02,0,0,Chinese,141,72,57,6
2025-02-01,2025-02,1,0,Chinese,60,35,26,1
2025-02-01,2025-02,0,0,English,26,16,13,5
2025-02-01,2025-02,1,1,Chinese,10,4,4,0
2025-02-01,2025-02,1,0,English,5,1,1,0
2025-02-01,2025-02,0,0,Math,0,0,0,0
2025-01-31,2025-01,0,0,Chinese,170,75,59,11
2025-01-31,2025-01,0,0,English,35,17,15,6
2025-01-31,2025-01,1,0,English,5,2,2,1
2025-01-31,2025-01,1,0,Chinese,8,2,2,3
2025-01-31,2025-01,1,1,Chinese,9,2,1,1
2025-01-31,2025-01,1,1,English,0,0,0,0
2025-01-31,2025-01,0,0,Math,0,0,0,1
2025-01-30,2025-01,0,0,Chinese,131,57,45,17
2025-01-30,2025-01,0,0,English,33,19,17,11
2025-01-30,2025-01,1,0,Chinese,18,5,5,3
2025-01-30,2025-01,1,1,Chinese,3,1,1,1
2025-01-30,2025-01,0,0,Math,0,0,0,0
2025-01-29,2025-01,0,0,Chinese,143,60,40,7
2025-01-29,2025-01,0,0,English,22,8,8,4
2025-01-29,2025-01,1,0,Chinese,9,6,6,0
2025-01-29,2025-01,1,0,English,3,3,3,1
2025-01-29,2025-01,1,1,Chinese,6,2,1,2
2025-01-28,2025-01,0,0,Chinese,136,59,47,27
2025-01-28,2025-01,0,0,English,21,12,10,3
2025-01-28,2025-01,1,0,Chinese,7,2,2,1
2025-01-28,2025-01,1,0,English,2,2,2,1
2025-01-28,2025-01,1,1,Chinese,5,2,2,2
2025-01-28,2025-01,0,0,Math,0,0,0,3
2025-01-27,2025-01,0,0,Chinese,472,143,103,30
2025-01-27,2025-01,0,0,English,32,16,14,11
2025-01-27,2025-01,1,0,Chinese,28,12,12,3
2025-01-27,2025-01,1,0,English,3,2,2,5
2025-01-27,2025-01,0,0,Math,0,0,0,2
2025-01-26,2025-01,0,0,Chinese,539,155,102,65
2025-01-26,2025-01,1,0,Chinese,81,49,39,1
2025-01-26,2025-01,0,0,English,56,34,28,13
2025-01-26,2025-01,1,1,Chinese,9,4,4,3
2025-01-26,2025-01,1,0,English,3,3,3,8
2025-01-26,2025-01,0,0,Music,0,0,0,1
2025-01-26,2025-01,0,0,Math,0,0,0,7
2025-01-25,2025-01,0,0,Chinese,469,197,143,55
2025-01-25,2025-01,1,0,Chinese,85,55,41,1
2025-01-25,2025-01,0,0,English,48,33,30,17
2025-01-25,2025-01,1,1,Chinese,11,4,3,1
2025-01-25,2025-01,1,0,English,5,3,3,3
2025-01-25,2025-01,0,0,Math,0,0,0,1
2025-01-24,2025-01,0,0,Chinese,322,134,96,49
2025-01-24,2025-01,1,0,Chinese,104,60,56,2
2025-01-24,2025-01,0,0,English,38,22,21,16
2025-01-24,2025-01,1,1,Chinese,12,3,3,3
2025-01-24,2025-01,1,0,English,4,2,2,1
2025-01-24,2025-01,1,0,Math,0,0,0,1
2025-01-24,2025-01,0,0,Math,0,0,0,9
2025-01-23,2025-01,0,0,Chinese,304,156,106,58
2025-01-23,2025-01,1,0,Chinese,106,66,57,2
2025-01-23,2025-01,0,0,English,73,37,33,13
2025-01-23,2025-01,1,1,Chinese,11,3,3,2
2025-01-23,2025-01,1,0,English,2,2,1,7
2025-01-23,2025-01,0,0,Math,0,0,0,8
2025-01-23,2025-01,0,0,Music,0,0,0,1
2025-01-22,2025-01,0,0,Chinese,421,189,147,49
2025-01-22,2025-01,1,0,Chinese,109,58,43,3
2025-01-22,2025-01,0,0,English,55,28,23,24
2025-01-22,2025-01,1,1,Chinese,10,3,2,3
2025-01-22,2025-01,1,0,English,3,2,2,10
2025-01-22,2025-01,0,0,Math,0,0,0,6
2025-01-22,2025-01,0,0,Music,0,0,0,5
2025-01-21,2025-01,0,0,Chinese,486,214,151,56
2025-01-21,2025-01,1,0,Chinese,136,81,61,0
2025-01-21,2025-01,0,0,English,47,28,26,24
2025-01-21,2025-01,1,1,Chinese,14,6,5,4
2025-01-21,2025-01,1,0,English,7,5,4,6
2025-01-21,2025-01,0,0,Math,0,0,0,5
2025-01-21,2025-01,1,0,Math,0,0,0,1
2025-01-20,2025-01,0,0,Chinese,780,256,199,55
2025-01-20,2025-01,1,0,Chinese,122,84,71,0
2025-01-20,2025-01,0,0,English,100,52,47,41
2025-01-20,2025-01,1,0,English,12,8,8,12
2025-01-20,2025-01,1,1,Chinese,9,4,4,3
2025-01-20,2025-01,0,0,Math,0,0,0,1
2025-01-20,2025-01,0,0,Music,0,0,0,3
2025-01-20,2025-01,1,0,Math,0,0,0,1
2025-01-19,2025-01,0,0,Chinese,835,273,171,60
2025-01-19,2025-01,1,0,Chinese,168,102,87,4
2025-01-19,2025-01,0,0,English,83,49,40,42
2025-01-19,2025-01,1,0,English,8,7,6,30
2025-01-19,2025-01,1,1,Chinese,9,5,5,5
2025-01-19,2025-01,0,0,Math,0,0,0,9
2025-01-19,2025-01,1,0,Music,0,0,0,1
2025-01-19,2025-01,0,0,Music,0,0,0,1
2025-01-19,2025-01,1,0,Math,0,0,0,0
2025-01-18,2025-01,0,0,Chinese,499,238,184,58
2025-01-18,2025-01,1,0,Chinese,149,105,96,0
2025-01-18,2025-01,0,0,English,77,47,41,56
2025-01-18,2025-01,1,1,Chinese,12,5,2,3
2025-01-18,2025-01,1,0,English,8,4,4,22
2025-01-18,2025-01,0,0,Math,0,0,0,9
2025-01-17,2025-01,0,0,Chinese,576,262,192,47
2025-01-17,2025-01,1,0,Chinese,178,116,95,2
2025-01-17,2025-01,0,0,English,96,59,51,30
2025-01-17,2025-01,1,0,English,9,7,6,16
2025-01-17,2025-01,1,1,Chinese,10,3,2,4
2025-01-17,2025-01,0,0,Music,0,0,0,1
2025-01-17,2025-01,1,0,Music,0,0,0,1
2025-01-17,2025-01,0,0,Math,0,0,0,0
2025-01-16,2025-01,0,0,Chinese,743,312,250,50
2025-01-16,2025-01,1,0,Chinese,196,121,97,2
2025-01-16,2025-01,0,0,English,92,47,36,36
2025-01-16,2025-01,1,1,Chinese,8,3,2,3
2025-01-16,2025-01,1,0,English,3,2,2,29
2025-01-16,2025-01,1,0,Math,0,0,0,0
2025-01-16,2025-01,0,0,Music,0,0,0,0
2025-01-16,2025-01,0,0,Math,0,0,0,5
2025-01-15,2025-01,0,0,Chinese,583,263,202,30
2025-01-15,2025-01,1,0,Chinese,246,153,135,0
2025-01-15,2025-01,0,0,English,107,56,49,28
2025-01-15,2025-01,1,1,Chinese,13,5,5,2
2025-01-15,2025-01,1,0,English,4,4,3,25
2025-01-15,2025-01,1,0,Math,0,0,0,2
2025-01-15,2025-01,0,0,Music,0,0,0,1
2025-01-15,2025-01,0,0,Math,0,0,0,4
2025-01-14,2025-01,0,0,Chinese,534,254,197,58
2025-01-14,2025-01,1,0,Chinese,188,122,111,2
2025-01-14,2025-01,0,0,English,63,35,29,29
2025-01-14,2025-01,1,0,English,6,5,4,8
2025-01-14,2025-01,1,1,Chinese,15,4,3,2
2025-01-14,2025-01,1,0,Math,0,0,0,0
2025-01-14,2025-01,1,1,English,0,0,0,0
2025-01-14,2025-01,0,0,Music,0,0,0,1
2025-01-14,2025-01,0,0,Math,0,0,0,1
2025-01-13,2025-01,0,0,Chinese,607,330,275,70
2025-01-13,2025-01,1,0,Chinese,245,167,143,2
2025-01-13,2025-01,0,0,English,58,32,25,82
2025-01-13,2025-01,1,1,Chinese,22,7,5,1
2025-01-13,2025-01,1,0,English,9,6,5,10
2025-01-13,2025-01,0,0,Math,0,0,0,6
2025-01-13,2025-01,0,0,Music,0,0,0,3
2025-01-13,2025-01,1,0,Math,0,0,0,1
2025-01-12,2025-01,0,0,Chinese,532,275,216,74
2025-01-12,2025-01,1,0,Chinese,245,159,127,1
2025-01-12,2025-01,0,0,English,56,40,32,39
2025-01-12,2025-01,1,1,Chinese,20,9,9,2
2025-01-12,2025-01,1,0,English,15,7,7,13
2025-01-12,2025-01,0,0,Math,0,0,0,7
2025-01-12,2025-01,0,0,Music,0,0,0,0
2025-01-11,2025-01,0,0,Chinese,463,246,207,49
2025-01-11,2025-01,1,0,Chinese,242,172,140,1
2025-01-11,2025-01,0,0,English,77,44,36,24
2025-01-11,2025-01,1,0,English,9,6,6,18
2025-01-11,2025-01,1,1,Chinese,16,5,5,2
2025-01-11,2025-01,0,0,Math,0,0,0,11
2025-01-10,2025-01,0,0,Chinese,524,268,206,44
2025-01-10,2025-01,1,0,Chinese,230,158,135,1
2025-01-10,2025-01,0,0,English,75,42,33,18
2025-01-10,2025-01,1,0,English,9,8,8,14
2025-01-10,2025-01,1,1,Chinese,13,5,5,1
2025-01-10,2025-01,0,0,Music,0,0,0,1
2025-01-10,2025-01,0,0,Math,0,0,0,5
2025-01-10,2025-01,1,1,Math,0,0,0,1
2025-01-09,2025-01,0,0,Chinese,475,276,226,66
2025-01-09,2025-01,1,0,Chinese,246,156,126,2
2025-01-09,2025-01,0,0,English,85,52,40,13
2025-01-09,2025-01,1,0,English,11,10,9,16
2025-01-09,2025-01,1,1,Chinese,13,5,4,3
2025-01-09,2025-01,0,0,Math,0,0,0,3
2025-01-09,2025-01,0,0,Music,0,0,0,2
2025-01-09,2025-01,1,0,Math,0,0,0,1
2025-01-08,2025-01,0,0,Chinese,476,228,182,19
2025-01-08,2025-01,1,0,Chinese,270,194,163,1
2025-01-08,2025-01,0,0,English,79,37,33,26
2025-01-08,2025-01,1,0,English,5,3,2,7
2025-01-08,2025-01,1,1,Chinese,14,2,2,3
2025-01-08,2025-01,0,0,Math,0,0,0,5
2025-01-08,2025-01,1,1,English,0,0,0,0
2025-01-08,2025-01,0,0,Music,0,0,0,3
2025-01-08,2025-01,1,0,Music,0,0,0,0
2025-01-07,2025-01,0,0,Chinese,461,226,170,46
2025-01-07,2025-01,1,0,Chinese,246,160,133,0
2025-01-07,2025-01,0,0,English,92,47,36,16
2025-01-07,2025-01,1,0,English,11,7,7,5
2025-01-07,2025-01,1,1,Chinese,16,6,6,2
2025-01-07,2025-01,0,0,Math,0,0,0,5
2025-01-06,2025-01,0,0,Chinese,713,339,262,45
2025-01-06,2025-01,1,0,Chinese,322,197,164,2
2025-01-06,2025-01,0,0,English,88,58,49,9
2025-01-06,2025-01,1,1,Chinese,13,6,6,4
2025-01-06,2025-01,1,0,English,7,4,3,10
2025-01-06,2025-01,0,0,Math,0,0,0,2
2025-01-06,2025-01,0,0,Music,0,0,0,1
2025-01-05,2025-01,0,0,Chinese,680,329,237,30
2025-01-05,2025-01,1,0,Chinese,278,171,138,0
2025-01-05,2025-01,0,0,English,105,62,46,67
2025-01-05,2025-01,1,0,English,8,7,7,43
2025-01-05,2025-01,1,1,Chinese,17,7,6,3
2025-01-05,2025-01,1,0,Math,0,0,0,1
2025-01-05,2025-01,0,0,Music,0,0,0,3
2025-01-05,2025-01,0,0,Math,0,0,0,6
2025-01-04,2025-01,0,0,Chinese,3650,331,272,26
2025-01-04,2025-01,1,0,Chinese,377,241,203,0
2025-01-04,2025-01,0,0,English,88,53,41,39
2025-01-04,2025-01,1,0,English,11,8,8,27
2025-01-04,2025-01,0,0,Music,0,0,0,2
2025-01-04,2025-01,0,0,Math,0,0,0,4
