订单年月日,订单年月,科目,是否ot渠道,是否ot官网,线索量,约课量,试听完课量,新签订单量
2025-07-19,2025-07,Math,1,0,2,0,0,1
2025-07-19,2025-07,Ace vocab,1,0,0,0,0,1
2025-07-18,2025-07,English,1,0,680,462,381,15
2025-07-18,2025-07,English,0,0,355,175,149,52
2025-07-18,2025-07,Chinese,0,0,221,134,89,54
2025-07-18,2025-07,Math,0,0,63,42,26,12
2025-07-18,2025-07,Chinese,1,0,22,9,7,1
2025-07-18,2025-07,Chinese,1,1,8,4,3,0
2025-07-18,2025-07,Ace vocab,0,0,0,0,0,2
2025-07-17,2025-07,English,1,0,657,425,351,16
2025-07-17,2025-07,English,0,0,374,192,158,53
2025-07-17,2025-07,Chinese,0,0,195,120,94,51
2025-07-17,2025-07,Math,0,0,56,31,20,8
2025-07-17,2025-07,Chinese,1,0,23,12,9,1
2025-07-17,2025-07,Chinese,1,1,6,2,2,3
2025-07-17,2025-07,Math,1,0,5,1,1,1
2025-07-17,2025-07,Ace vocab,0,0,0,0,0,1
2025-07-17,2025-07,English,1,1,0,0,0,1
2025-07-16,2025-07,English,1,0,628,411,346,24
2025-07-16,2025-07,English,0,0,383,183,154,55
2025-07-16,2025-07,Chinese,0,0,203,117,83,20
2025-07-16,2025-07,Math,0,0,50,23,11,10
2025-07-16,2025-07,Chinese,1,0,27,12,7,3
2025-07-16,2025-07,Chinese,1,1,15,6,6,0
2025-07-16,2025-07,Ace vocab,0,0,0,0,0,1
2025-07-16,2025-07,Math,1,0,2,0,0,0
2025-07-16,2025-07,English,1,1,0,0,0,1
2025-07-15,2025-07,English,1,0,630,394,324,12
2025-07-15,2025-07,English,0,0,364,186,162,37
2025-07-15,2025-07,Chinese,0,0,278,127,96,32
2025-07-15,2025-07,Math,0,0,62,35,24,7
2025-07-15,2025-07,Chinese,1,1,15,10,8,3
2025-07-15,2025-07,Chinese,1,0,27,10,7,1
2025-07-15,2025-07,Math,0,0,2,1,1,7
2025-07-15,2025-07,English,1,1,0,0,0,1
2025-07-15,2025-07,Math,1,1,0,0,0,1
2025-07-14,2025-07,English,1,0,729,454,363,21
2025-07-14,2025-07,Chinese,0,0,365,217,133,80
2025-07-14,2025-07,English,0,0,433,197,159,32
2025-07-14,2025-07,Math,0,0,56,25,15,12
2025-07-14,2025-07,Chinese,1,0,29,12,7,2
2025-07-14,2025-07,Chinese,1,1,8,7,6,1
2025-07-14,2025-07,Ace vocab,0,0,0,0,0,1
2025-07-13,2025-07,English,1,0,651,428,369,17
2025-07-13,2025-07,Chinese,0,0,400,188,123,61
2025-07-13,2025-07,English,0,0,327,181,162,62
2025-07-13,2025-07,Math,0,0,61,43,23,14
2025-07-13,2025-07,Chinese,1,0,25,10,6,6
2025-07-13,2025-07,Chinese,1,1,11,10,9,3
2025-07-13,2025-07,Math,1,0,4,3,3,1
2025-07-13,2025-07,Math,1,1,0,0,0,1
2025-07-12,2025-07,English,1,0,607,389,326,16
2025-07-12,2025-07,English,0,0,409,201,172,60
2025-07-12,2025-07,Chinese,0,0,344,182,126,57
2025-07-12,2025-07,Math,0,0,58,35,24,12
2025-07-12,2025-07,Chinese,1,0,18,7,6,0
2025-07-12,2025-07,Chinese,1,1,13,6,5,1
2025-07-12,2025-07,Math,0,0,1,1,1,12
2025-07-12,2025-07,Ace vocab,0,0,0,0,0,1
2025-07-11,2025-07,English,1,0,619,386,311,19
2025-07-11,2025-07,English,0,0,451,214,181,44
2025-07-11,2025-07,Chinese,0,0,541,154,107,50
2025-07-11,2025-07,Math,0,0,40,25,15,10
2025-07-11,2025-07,Chinese,1,0,29,13,9,5
2025-07-11,2025-07,Chinese,1,1,15,10,7,2
2025-07-11,2025-07,Math,1,0,4,1,1,2
2025-07-10,2025-07,English,1,0,659,411,336,14
2025-07-10,2025-07,English,0,0,486,241,192,50
2025-07-10,2025-07,Chinese,0,0,271,151,109,39
2025-07-10,2025-07,Math,0,0,58,36,23,6
2025-07-10,2025-07,Chinese,1,0,24,8,5,0
2025-07-10,2025-07,Chinese,1,1,15,6,5,2
2025-07-10,2025-07,Chinese,0,0,1,0,0,39
2025-07-09,2025-07,English,1,0,655,427,353,22
2025-07-09,2025-07,English,0,0,344,187,159,31
2025-07-09,2025-07,Chinese,0,0,199,119,81,25
2025-07-09,2025-07,Math,0,0,36,23,14,4
2025-07-09,2025-07,Chinese,1,0,22,12,5,1
2025-07-09,2025-07,Math,0,0,6,1,1,4
2025-07-09,2025-07,Chinese,1,1,6,1,1,1
2025-07-09,2025-07,Math,1,0,2,1,1,1
2025-07-09,2025-07,English,1,1,0,0,0,1
2025-07-08,2025-07,English,1,0,611,403,330,13
2025-07-08,2025-07,English,0,0,544,221,196,43
2025-07-08,2025-07,Chinese,0,0,279,166,116,34
2025-07-08,2025-07,Math,0,0,53,34,21,14
2025-07-08,2025-07,Chinese,1,0,28,10,6,1
2025-07-08,2025-07,Chinese,1,1,16,7,4,0
2025-07-08,2025-07,Math,0,0,1,1,1,14
2025-07-07,2025-07,English,1,0,695,439,357,11
2025-07-07,2025-07,English,0,0,424,223,187,33
2025-07-07,2025-07,Chinese,0,0,328,198,127,56
2025-07-07,2025-07,Math,0,0,65,45,32,4
2025-07-07,2025-07,Chinese,1,0,21,12,5,3
2025-07-07,2025-07,Chinese,1,1,18,8,8,4
2025-07-06,2025-07,English,1,0,762,493,419,73
2025-07-06,2025-07,English,0,0,401,222,184,153
2025-07-06,2025-07,Chinese,0,0,306,199,134,54
2025-07-06,2025-07,Math,0,0,49,30,21,3
2025-07-06,2025-07,Chinese,1,0,26,9,7,2
2025-07-06,2025-07,Chinese,1,1,12,9,7,3
2025-07-06,2025-07,Math,0,0,1,1,1,3
2025-07-05,2025-07,English,1,0,644,437,349,46
2025-07-05,2025-07,English,0,0,453,212,172,91
2025-07-05,2025-07,Chinese,0,0,321,178,114,54
2025-07-05,2025-07,Math,0,0,40,28,16,8
2025-07-05,2025-07,Chinese,1,0,21,11,10,3
2025-07-05,2025-07,Chinese,1,1,7,3,2,0
2025-07-04,2025-07,English,1,0,666,441,364,28
2025-07-04,2025-07,English,0,0,539,278,240,69
2025-07-04,2025-07,Chinese,0,0,260,165,111,35
2025-07-04,2025-07,Math,0,0,44,28,16,5
2025-07-04,2025-07,Chinese,1,0,21,7,3,2
2025-07-04,2025-07,Chinese,1,1,8,6,2,3
2025-07-04,2025-07,Math,0,0,1,0,0,5
2025-07-04,2025-07,Math,1,0,0,0,0,1
2025-07-03,2025-07,English,1,0,786,522,419,32
2025-07-03,2025-07,English,0,0,678,269,221,62
2025-07-03,2025-07,Chinese,0,0,275,181,124,31
2025-07-03,2025-07,Math,0,0,62,43,29,3
2025-07-03,2025-07,Chinese,1,0,24,12,8,1
2025-07-03,2025-07,Chinese,1,1,6,3,3,2
2025-07-03,2025-07,Chinese,0,0,1,1,1,31
2025-07-02,2025-07,English,1,0,849,562,450,46
2025-07-02,2025-07,English,0,0,453,253,218,108
2025-07-02,2025-07,Chinese,0,0,220,130,81,13
2025-07-02,2025-07,Math,0,0,47,37,26,4
2025-07-02,2025-07,Chinese,1,0,18,9,4,1
2025-07-02,2025-07,Chinese,1,1,8,4,3,2
2025-07-01,2025-07,English,1,0,925,611,513,43
2025-07-01,2025-07,English,0,0,461,246,217,108
2025-07-01,2025-07,Chinese,0,0,260,175,132,39
2025-07-01,2025-07,Math,0,0,44,32,23,9
2025-07-01,2025-07,Chinese,1,0,28,12,8,4
2025-07-01,2025-07,Chinese,1,1,12,6,4,2
2025-06-30,2025-06,English,1,0,901,551,441,24
2025-06-30,2025-06,English,0,0,514,274,235,65
2025-06-30,2025-06,Chinese,0,0,252,160,83,160
2025-06-30,2025-06,Math,0,0,50,34,23,32
2025-06-30,2025-06,Chinese,1,0,33,12,4,5
2025-06-30,2025-06,Chinese,1,1,12,6,4,5
2025-06-30,2025-06,Math,1,0,0,0,0,1
2025-06-30,2025-06,English,1,1,0,0,0,2
2025-06-29,2025-06,English,1,0,765,480,385,29
2025-06-29,2025-06,Chinese,0,0,376,228,125,97
2025-06-29,2025-06,English,0,0,383,200,178,54
2025-06-29,2025-06,Math,0,0,61,48,32,16
2025-06-29,2025-06,Chinese,1,0,27,13,4,2
2025-06-29,2025-06,Chinese,1,1,13,4,3,4
2025-06-29,2025-06,Math,0,0,1,1,0,16
2025-06-29,2025-06,Math,1,0,2,1,1,1
2025-06-28,2025-06,English,1,0,808,537,450,23
2025-06-28,2025-06,English,0,0,452,216,181,46
2025-06-28,2025-06,Chinese,0,0,310,212,126,81
2025-06-28,2025-06,Math,0,0,30,24,14,12
2025-06-28,2025-06,Chinese,1,1,13,10,8,4
2025-06-28,2025-06,Chinese,1,0,27,9,7,1
2025-06-28,2025-06,Math,0,0,1,0,0,12
2025-06-27,2025-06,English,1,0,838,517,434,20
2025-06-27,2025-06,Chinese,0,0,278,186,145,46
2025-06-27,2025-06,English,0,0,347,173,143,37
2025-06-27,2025-06,Math,0,0,55,39,24,13
2025-06-27,2025-06,Chinese,1,0,28,8,2,6
2025-06-27,2025-06,Chinese,1,1,5,2,2,3
2025-06-27,2025-06,Chinese,0,0,1,0,0,46
2025-06-26,2025-06,English,1,0,891,565,449,14
2025-06-26,2025-06,English,0,0,380,202,171,25
2025-06-26,2025-06,Chinese,0,0,158,116,88,22
2025-06-26,2025-06,Math,0,0,59,41,26,4
2025-06-26,2025-06,Chinese,1,0,27,14,9,2
2025-06-26,2025-06,Chinese,1,1,12,5,4,1
2025-06-26,2025-06,Math,1,0,1,0,0,1
2025-06-25,2025-06,English,1,0,797,493,403,32
2025-06-25,2025-06,English,0,0,493,219,177,78
2025-06-25,2025-06,Chinese,0,0,190,118,90,39
2025-06-25,2025-06,Math,0,0,54,45,30,6
2025-06-25,2025-06,Chinese,1,0,21,9,6,1
2025-06-25,2025-06,Chinese,1,1,14,7,6,1
2025-06-25,2025-06,English,1,1,0,0,0,1
2025-06-24,2025-06,English,1,0,714,466,390,17
2025-06-24,2025-06,English,0,0,397,201,169,37
2025-06-24,2025-06,Chinese,0,0,214,155,120,63
2025-06-24,2025-06,Math,0,0,80,40,26,5
2025-06-24,2025-06,Chinese,1,0,31,16,10,2
2025-06-24,2025-06,Chinese,1,1,15,6,5,4
2025-06-23,2025-06,English,1,0,598,371,308,16
2025-06-23,2025-06,English,0,0,512,229,189,33
2025-06-23,2025-06,Chinese,0,0,284,199,148,77
2025-06-23,2025-06,Math,0,0,65,38,20,6
2025-06-23,2025-06,Chinese,1,0,27,13,10,4
2025-06-23,2025-06,Chinese,1,1,9,4,3,1
2025-06-23,2025-06,Chinese,0,0,2,2,2,77
2025-06-23,2025-06,Math,1,0,2,0,0,1
2025-06-23,2025-06,Music,0,0,1,0,0,0
2025-06-23,2025-06,Music,1,1,0,0,0,1
2025-06-22,2025-06,English,1,0,549,359,302,33
2025-06-22,2025-06,English,0,0,473,223,181,65
2025-06-22,2025-06,Chinese,0,0,290,171,114,68
2025-06-22,2025-06,Math,0,0,59,38,24,10
2025-06-22,2025-06,Chinese,1,0,27,15,9,5
2025-06-22,2025-06,Math,1,0,1,0,0,1
2025-06-22,2025-06,Math,1,1,0,0,0,0
2025-06-21,2025-06,English,1,0,705,469,386,20
2025-06-21,2025-06,English,0,0,473,232,194,43
2025-06-21,2025-06,Chinese,0,0,250,147,99,62
2025-06-21,2025-06,Math,0,0,47,33,23,6
2025-06-21,2025-06,Chinese,1,0,23,14,11,1
2025-06-21,2025-06,Chinese,1,1,10,7,6,2
2025-06-21,2025-06,Math,0,0,2,0,0,6
2025-06-21,2025-06,Music,0,0,0,0,0,0
2025-06-20,2025-06,English,1,0,463,296,243,9
2025-06-20,2025-06,English,0,0,469,209,179,30
2025-06-20,2025-06,Chinese,0,0,220,143,118,60
2025-06-20,2025-06,Math,0,0,29,16,8,6
2025-06-20,2025-06,Chinese,1,0,22,14,2,4
2025-06-20,2025-06,Chinese,1,1,8,3,2,5
2025-06-20,2025-06,Math,0,0,1,1,1,6
2025-06-20,2025-06,Music,0,0,0,0,0,0
2025-06-19,2025-06,English,1,0,457,295,238,10
2025-06-19,2025-06,English,0,0,394,164,137,38
2025-06-19,2025-06,Chinese,0,0,223,150,117,62
2025-06-19,2025-06,Math,0,0,40,28,17,9
2025-06-19,2025-06,Chinese,1,0,28,13,7,0
2025-06-19,2025-06,Chinese,1,1,11,4,2,1
2025-06-19,2025-06,Chinese,0,0,1,1,1,62
2025-06-19,2025-06,Math,1,0,1,0,0,0
2025-06-18,2025-06,English,1,0,465,278,235,86
2025-06-18,2025-06,English,0,0,535,238,203,190
2025-06-18,2025-06,Chinese,0,0,1165,198,155,147
2025-06-18,2025-06,Math,0,0,31,19,10,31
2025-06-18,2025-06,Chinese,1,0,25,10,4,4
2025-06-18,2025-06,Chinese,1,1,12,6,5,7
2025-06-18,2025-06,Math,0,0,1,1,1,31
2025-06-18,2025-06,Math,1,1,0,0,0,0
2025-06-18,2025-06,Music,0,0,1,0,0,1
2025-06-18,2025-06,English,1,1,0,0,0,0
2025-06-17,2025-06,English,1,0,561,344,279,34
2025-06-17,2025-06,English,0,0,473,216,180,91
2025-06-17,2025-06,Chinese,0,0,1743,208,140,100
2025-06-17,2025-06,Math,0,0,41,20,11,12
2025-06-17,2025-06,Chinese,1,0,24,9,7,3
2025-06-17,2025-06,Chinese,1,1,10,4,4,2
2025-06-17,2025-06,Music,0,0,0,0,0,1
2025-06-17,2025-06,Math,1,0,0,0,0,0
2025-06-17,2025-06,English,1,1,0,0,0,0
2025-06-16,2025-06,English,1,0,444,262,222,28
2025-06-16,2025-06,Chinese,0,0,1175,237,176,74
2025-06-16,2025-06,English,0,0,447,220,186,73
2025-06-16,2025-06,Math,0,0,54,29,19,15
2025-06-16,2025-06,Chinese,1,0,26,16,10,3
2025-06-16,2025-06,Chinese,1,1,20,10,8,1
2025-06-16,2025-06,Math,1,0,2,2,1,1
2025-06-16,2025-06,Math,0,0,1,0,0,15
2025-06-16,2025-06,English,1,1,0,0,0,1
2025-06-16,2025-06,Music,0,0,3,0,0,1
2025-06-16,2025-06,Ace vocab,0,0,0,0,0,1
2025-06-15,2025-06,English,1,0,487,310,261,34
2025-06-15,2025-06,Chinese,0,0,326,184,126,82
2025-06-15,2025-06,English,0,0,378,182,150,64
2025-06-15,2025-06,Math,0,0,77,30,24,13
2025-06-15,2025-06,Chinese,1,0,26,12,8,0
2025-06-15,2025-06,Chinese,1,1,11,8,6,1
2025-06-15,2025-06,Math,1,0,1,0,0,1
2025-06-15,2025-06,Music,1,0,2,0,0,1
2025-06-15,2025-06,English,1,1,0,0,0,0
2025-06-14,2025-06,English,1,0,508,307,261,16
2025-06-14,2025-06,English,0,0,415,206,171,63
2025-06-14,2025-06,Chinese,0,0,282,170,123,78
2025-06-14,2025-06,Math,0,0,40,24,16,5
2025-06-14,2025-06,Chinese,1,0,12,9,4,9
2025-06-14,2025-06,Chinese,1,1,6,4,2,5
2025-06-14,2025-06,Math,1,0,1,0,0,0
2025-06-14,2025-06,English,1,1,0,0,0,1
2025-06-13,2025-06,English,1,0,510,298,243,17
2025-06-13,2025-06,English,0,0,397,177,148,36
2025-06-13,2025-06,Chinese,0,0,237,156,124,52
2025-06-13,2025-06,Math,0,0,33,19,14,6
2025-06-13,2025-06,Chinese,1,0,17,12,10,3
2025-06-13,2025-06,Chinese,1,1,12,3,1,1
2025-06-12,2025-06,English,1,0,469,310,263,20
2025-06-12,2025-06,English,0,0,433,209,179,38
2025-06-12,2025-06,Chinese,0,0,285,186,152,73
2025-06-12,2025-06,Math,0,0,27,19,16,8
2025-06-12,2025-06,Chinese,1,0,23,12,7,1
2025-06-12,2025-06,Chinese,1,1,13,4,4,2
2025-06-12,2025-06,Math,0,0,1,1,1,8
2025-06-12,2025-06,Music,1,0,1,0,0,1
2025-06-12,2025-06,Music,0,0,0,0,0,0
2025-06-12,2025-06,Math,1,1,0,0,0,0
2025-06-11,2025-06,English,1,0,535,360,299,16
2025-06-11,2025-06,English,0,0,388,194,167,39
2025-06-11,2025-06,Chinese,0,0,180,122,86,27
2025-06-11,2025-06,Math,0,0,29,21,11,3
2025-06-11,2025-06,Chinese,1,0,18,13,5,1
2025-06-11,2025-06,Chinese,1,1,5,2,2,2
2025-06-11,2025-06,Music,0,0,2,1,1,0
2025-06-10,2025-06,English,1,0,520,351,301,17
2025-06-10,2025-06,English,0,0,521,196,167,37
2025-06-10,2025-06,Chinese,0,0,278,130,90,37
2025-06-10,2025-06,Chinese,1,0,44,27,13,5
2025-06-10,2025-06,Math,0,0,36,20,14,3
2025-06-10,2025-06,Chinese,1,1,12,5,4,1
2025-06-09,2025-06,English,1,0,455,291,244,17
2025-06-09,2025-06,English,0,0,463,245,203,43
2025-06-09,2025-06,Chinese,0,0,931,233,172,91
2025-06-09,2025-06,Math,0,0,34,16,11,12
2025-06-09,2025-06,Chinese,1,0,33,13,10,0
2025-06-09,2025-06,Chinese,1,1,12,7,6,2
2025-06-09,2025-06,Music,0,0,1,0,0,0
2025-06-09,2025-06,Math,1,1,0,0,0,1
2025-06-08,2025-06,English,1,0,474,334,284,25
2025-06-08,2025-06,English,0,0,484,229,187,56
2025-06-08,2025-06,Chinese,0,0,358,183,107,73
2025-06-08,2025-06,Math,0,0,51,29,16,5
2025-06-08,2025-06,Chinese,1,0,32,14,14,4
2025-06-08,2025-06,Chinese,1,1,12,7,6,4
2025-06-08,2025-06,Chinese,0,0,1,1,1,73
2025-06-08,2025-06,Math,1,0,1,0,0,1
2025-06-08,2025-06,Music,0,0,0,0,0,1
2025-06-07,2025-06,English,1,0,456,284,248,21
2025-06-07,2025-06,English,0,0,482,209,176,55
2025-06-07,2025-06,Chinese,0,0,352,191,131,80
2025-06-07,2025-06,Math,0,0,42,23,10,6
2025-06-07,2025-06,Chinese,1,0,28,22,16,4
2025-06-07,2025-06,Chinese,1,1,16,9,7,5
2025-06-07,2025-06,Music,0,0,1,0,0,0
2025-06-07,2025-06,Math,1,0,0,0,0,1
2025-06-07,2025-06,English,1,1,0,0,0,1
2025-06-06,2025-06,English,1,0,422,268,237,15
2025-06-06,2025-06,English,0,0,408,197,166,40
2025-06-06,2025-06,Chinese,0,0,230,161,121,50
2025-06-06,2025-06,Math,0,0,29,23,20,8
2025-06-06,2025-06,Chinese,1,0,23,14,10,2
2025-06-06,2025-06,Chinese,1,1,6,5,3,2
2025-06-06,2025-06,Chinese,0,0,1,1,1,50
2025-06-06,2025-06,Math,1,0,2,0,0,1
2025-06-06,2025-06,Music,0,0,2,0,0,0
2025-06-05,2025-06,English,1,0,381,270,234,7
2025-06-05,2025-06,Chinese,0,0,290,190,134,47
2025-06-05,2025-06,English,0,0,339,181,161,38
2025-06-05,2025-06,Math,0,0,34,17,10,8
2025-06-05,2025-06,Chinese,1,0,15,14,6,2
2025-06-05,2025-06,Chinese,1,1,7,5,3,3
2025-06-05,2025-06,Music,0,0,1,0,0,0
2025-06-05,2025-06,Math,1,0,1,0,0,0
2025-06-05,2025-06,Music,1,0,0,0,0,1
2025-06-05,2025-06,Math,1,1,0,0,0,1
2025-06-04,2025-06,English,1,0,392,265,224,8
2025-06-04,2025-06,English,0,0,389,210,172,35
2025-06-04,2025-06,Chinese,0,0,257,120,86,18
2025-06-04,2025-06,Math,0,0,28,16,8,4
2025-06-04,2025-06,Chinese,1,0,21,9,6,0
2025-06-04,2025-06,Chinese,1,1,15,7,7,1
2025-06-04,2025-06,Music,0,0,2,1,1,0
2025-06-03,2025-06,Chinese,0,0,609,291,201,47
2025-06-03,2025-06,English,1,0,378,255,218,14
2025-06-03,2025-06,English,0,0,493,240,206,36
2025-06-03,2025-06,Math,0,0,34,19,11,4
2025-06-03,2025-06,Chinese,1,0,26,12,8,4
2025-06-03,2025-06,Chinese,1,1,12,7,4,3
2025-06-03,2025-06,Music,0,0,0,0,0,1
2025-06-03,2025-06,Music,1,0,1,0,0,0
2025-06-03,2025-06,Math,1,0,0,0,0,1
2025-06-03,2025-06,Math,1,1,0,0,0,1
2025-06-02,2025-06,Chinese,0,0,291,171,108,44
2025-06-02,2025-06,English,1,0,246,161,144,17
2025-06-02,2025-06,English,0,0,222,124,115,39
2025-06-02,2025-06,Math,0,0,38,26,16,10
2025-06-02,2025-06,Chinese,1,0,21,8,6,0
2025-06-02,2025-06,Chinese,1,1,15,3,2,4
2025-06-02,2025-06,Music,0,0,0,0,0,0
2025-06-02,2025-06,Math,1,0,0,0,0,1
2025-06-01,2025-06,Chinese,0,0,554,307,193,47
2025-06-01,2025-06,English,1,0,205,143,122,29
2025-06-01,2025-06,English,0,0,128,96,79,65
2025-06-01,2025-06,Math,0,0,71,25,13,8
2025-06-01,2025-06,Chinese,1,0,17,10,8,3
2025-06-01,2025-06,Chinese,1,1,14,5,5,3
2025-06-01,2025-06,Music,0,0,2,0,0,0
2025-05-31,2025-05,Chinese,0,0,285,165,104,88
2025-05-31,2025-05,English,1,0,151,96,84,1
2025-05-31,2025-05,English,0,0,130,66,61,13
2025-05-31,2025-05,Math,0,0,29,12,9,9
2025-05-31,2025-05,Chinese,1,0,21,9,6,5
2025-05-31,2025-05,Chinese,1,1,8,3,3,2
2025-05-31,2025-05,Math,1,0,0,0,0,2
2025-05-30,2025-05,Chinese,0,0,280,155,115,61
2025-05-30,2025-05,English,1,0,161,97,87,9
2025-05-30,2025-05,English,0,0,157,67,57,16
2025-05-30,2025-05,Chinese,1,0,25,15,14,5
2025-05-30,2025-05,Chinese,1,1,16,8,6,1
2025-05-30,2025-05,Math,0,0,12,7,5,12
2025-05-29,2025-05,Chinese,0,0,210,136,89,34
2025-05-29,2025-05,English,1,0,176,120,95,14
2025-05-29,2025-05,English,0,0,236,116,99,52
2025-05-29,2025-05,Chinese,1,0,22,12,8,1
2025-05-29,2025-05,Chinese,1,1,12,8,6,3
2025-05-29,2025-05,Math,0,0,15,7,5,5
2025-05-29,2025-05,Math,1,0,0,0,0,1
2025-05-29,2025-05,Math,0,0,1,0,0,5
2025-05-29,2025-05,English,1,1,0,0,0,0
2025-05-28,2025-05,Chinese,0,0,207,139,84,24
2025-05-28,2025-05,English,1,0,170,118,103,13
2025-05-28,2025-05,English,0,0,193,100,88,36
2025-05-28,2025-05,Chinese,1,0,19,11,6,3
2025-05-28,2025-05,Math,0,0,24,9,8,5
2025-05-28,2025-05,Chinese,1,1,15,8,6,3
2025-05-28,2025-05,Music,0,0,2,0,0,0
2025-05-28,2025-05,English,1,1,0,0,0,1
2025-05-27,2025-05,Chinese,0,0,380,218,134,76
2025-05-27,2025-05,English,1,0,308,204,177,18
2025-05-27,2025-05,English,0,0,236,125,116,18
2025-05-27,2025-05,Chinese,1,0,27,13,10,2
2025-05-27,2025-05,Math,0,0,20,12,10,5
2025-05-27,2025-05,Chinese,1,1,13,8,6,3
2025-05-27,2025-05,Chinese,0,0,1,1,1,76
2025-05-27,2025-05,Math,0,0,1,1,1,5
2025-05-27,2025-05,English,1,1,0,0,0,1
2025-05-27,2025-05,Music,0,0,0,0,0,1
2025-05-27,2025-05,Math,1,1,0,0,0,1
2025-05-26,2025-05,English,1,0,343,227,186,12
2025-05-26,2025-05,Chinese,0,0,411,172,109,90
2025-05-26,2025-05,English,0,0,294,147,131,32
2025-05-26,2025-05,Math,0,0,39,15,8,14
2025-05-26,2025-05,Chinese,1,0,21,9,5,2
2025-05-26,2025-05,Chinese,1,1,15,6,6,4
2025-05-26,2025-05,Chinese,0,0,1,1,1,90
2025-05-26,2025-05,Music,0,0,0,0,0,0
2025-05-25,2025-05,English,1,0,338,245,204,27
2025-05-25,2025-05,Chinese,0,0,380,182,112,66
2025-05-25,2025-05,English,0,0,244,131,109,52
2025-05-25,2025-05,Math,0,0,98,30,15,5
2025-05-25,2025-05,Chinese,1,0,29,15,7,3
2025-05-25,2025-05,Chinese,1,1,11,5,4,0
2025-05-25,2025-05,Music,0,0,2,0,0,1
2025-05-24,2025-05,English,1,0,385,232,191,27
2025-05-24,2025-05,Chinese,0,0,316,155,100,54
2025-05-24,2025-05,English,0,0,283,137,109,52
2025-05-24,2025-05,Math,0,0,31,15,8,15
2025-05-24,2025-05,Chinese,1,0,21,7,5,3
2025-05-24,2025-05,Chinese,1,1,10,6,5,4
2025-05-24,2025-05,Music,0,0,3,0,0,0
2025-05-24,2025-05,Music,1,0,0,0,0,0
2025-05-23,2025-05,English,1,0,316,241,213,20
2025-05-23,2025-05,Chinese,0,0,245,149,114,47
2025-05-23,2025-05,English,0,0,241,135,116,30
2025-05-23,2025-05,Math,0,0,27,15,8,4
2025-05-23,2025-05,Chinese,1,0,30,13,9,1
2025-05-23,2025-05,Chinese,1,1,16,8,6,1
2025-05-23,2025-05,Music,0,0,0,0,0,3
2025-05-23,2025-05,Math,1,0,1,0,0,0
2025-05-23,2025-05,Math,1,0,6,0,0,0
2025-05-23,2025-05,English,1,1,1,0,0,1
2025-05-22,2025-05,English,1,0,315,228,192,18
2025-05-22,2025-05,Chinese,0,0,312,166,123,40
2025-05-22,2025-05,English,0,0,303,164,148,42
2025-05-22,2025-05,Math,0,0,23,12,6,1
2025-05-22,2025-05,Chinese,1,0,29,8,5,2
2025-05-22,2025-05,Chinese,1,1,8,6,4,0
2025-05-22,2025-05,Music,0,0,4,0,0,1
2025-05-21,2025-05,English,1,0,444,287,234,10
2025-05-21,2025-05,Chinese,0,0,281,173,118,19
2025-05-21,2025-05,English,0,0,312,159,134,29
2025-05-21,2025-05,Math,0,0,21,14,11,1
2025-05-21,2025-05,Chinese,1,0,24,13,8,3
2025-05-21,2025-05,Chinese,1,1,12,4,2,0
2025-05-21,2025-05,Music,0,0,1,0,0,3
2025-05-20,2025-05,English,1,0,393,246,216,20
2025-05-20,2025-05,Chinese,0,0,359,210,143,54
2025-05-20,2025-05,English,0,0,391,190,153,31
2025-05-20,2025-05,Math,0,0,26,15,9,5
2025-05-20,2025-05,Chinese,1,0,381,10,8,2
2025-05-20,2025-05,Chinese,1,1,8,3,3,3
2025-05-20,2025-05,Chinese,0,0,1,0,0,54
2025-05-20,2025-05,Math,1,1,0,0,0,0
2025-05-19,2025-05,English,1,0,384,259,226,21
2025-05-19,2025-05,Chinese,0,0,434,253,171,62
2025-05-19,2025-05,English,0,0,299,144,119,42
2025-05-19,2025-05,Math,0,0,25,17,11,6
2025-05-19,2025-05,Chinese,1,0,21,8,8,2
2025-05-19,2025-05,Chinese,1,1,17,7,6,6
2025-05-19,2025-05,Music,0,0,3,0,0,0
2025-05-19,2025-05,Math,1,1,0,0,0,1
2025-05-18,2025-05,English,1,0,354,241,210,27
2025-05-18,2025-05,English,0,0,391,164,139,47
2025-05-18,2025-05,Chinese,0,0,282,159,106,68
2025-05-18,2025-05,Chinese,1,0,29,15,10,3
2025-05-18,2025-05,Math,0,0,22,11,6,8
2025-05-18,2025-05,Chinese,1,1,13,5,4,2
2025-05-18,2025-05,Music,0,0,1,0,0,1
2025-05-17,2025-05,English,1,0,391,256,212,28
2025-05-17,2025-05,Chinese,0,0,370,205,129,63
2025-05-17,2025-05,English,0,0,278,135,116,45
2025-05-17,2025-05,Chinese,1,0,29,14,9,1
2025-05-17,2025-05,Math,0,0,13,11,7,5
2025-05-17,2025-05,Chinese,1,1,15,3,2,3
2025-05-17,2025-05,Math,1,0,2,1,0,1
2025-05-16,2025-05,English,1,0,416,298,245,22
2025-05-16,2025-05,English,0,0,318,145,120,38
2025-05-16,2025-05,Chinese,0,0,275,141,97,47
2025-05-16,2025-05,Math,0,0,32,21,7,1
2025-05-16,2025-05,Chinese,1,0,27,15,8,2
2025-05-16,2025-05,Chinese,1,1,10,2,1,3
2025-05-15,2025-05,English,1,0,560,360,303,15
2025-05-15,2025-05,Chinese,0,0,300,200,146,36
2025-05-15,2025-05,English,0,0,337,154,135,49
